,Year,Total,Code,Park
2198,1987,2531864.0,ROMO,Rocky Mountain National Park
2199,1986,2408234.0,ROMO,Rocky Mountain National Park
2200,1985,2248854.0,ROMO,Rocky Mountain National Park
2201,1984,2231448.0,ROMO,Rocky Mountain National Park
2202,1983,2599006.0,ROMO,Rocky Mountain National Park
2203,1982,2564116.0,ROMO,Rocky Mountain National Park
2204,1981,2911242.0,ROMO,Rocky Mountain National Park
2205,1980,2641937.0,ROMO,Rocky Mountain National Park
2206,1979,2568530.0,ROMO,Rocky Mountain National Park
2207,2019,2743718.0,JOTR,Joshua Tree National Park
2208,2018,2942382.0,JOTR,Joshua Tree National Park
2209,2017,2853619.0,JOTR,Joshua Tree National Park
2210,2016,2505286.0,JOTR,Joshua Tree National Park
2211,2015,2025756.0,JOTR,Joshua Tree National Park
2212,2014,1589904.0,JOTR,Joshua Tree National Park
2213,2013,1383340.0,JOTR,Joshua Tree National Park
2214,2012,1396117.0,JOTR,Joshua Tree National Park
2215,2011,1396237.0,JOTR,Joshua Tree National Park
2216,2010,1434976.0,JOTR,Joshua Tree National Park
2217,2009,1304471.0,JOTR,Joshua Tree National Park
2218,2008,1392446.0,JOTR,Joshua Tree National Park
2219,2007,1298979.0,JOTR,Joshua Tree National Park
2220,2006,1256421.0,JOTR,Joshua Tree National Park
2221,2005,1375111.0,JOTR,Joshua Tree National Park
2222,2004,1243659.0,JOTR,Joshua Tree National Park
2223,2003,1283346.0,JOTR,Joshua Tree National Park
2224,2002,1178376.0,JOTR,Joshua Tree National Park
2225,2001,1280917.0,JOTR,Joshua Tree National Park
2226,2000,1233935.0,JOTR,Joshua Tree National Park
2227,1999,1316340.0,JOTR,Joshua Tree National Park
2228,1998,1410312.0,JOTR,Joshua Tree National Park
2229,1997,1226273.0,JOTR,Joshua Tree National Park
2230,1996,1095046.0,JOTR,Joshua Tree National Park
2231,1995,1235702.0,JOTR,Joshua Tree National Park
2232,1994,1184871.0,JOTR,Joshua Tree National Park
2233,1993,1252401.0,JOTR,Joshua Tree National Park
2234,1992,1220539.0,JOTR,Joshua Tree National Park
2235,1991,1145458.0,JOTR,Joshua Tree National Park
2236,1990,1022396.0,JOTR,Joshua Tree National Park
2237,1989,990214.0,JOTR,Joshua Tree National Park
2238,1988,955246.0,JOTR,Joshua Tree National Park
2239,1987,830085.0,JOTR,Joshua Tree National Park
2240,1986,783224.0,JOTR,Joshua Tree National Park
2241,1985,641172.0,JOTR,Joshua Tree National Park
2242,1984,663798.0,JOTR,Joshua Tree National Park
2243,1983,671426.0,JOTR,Joshua Tree National Park
2244,1982,673201.0,JOTR,Joshua Tree National Park
2245,1981,612966.0,JOTR,Joshua Tree National Park
2246,1980,545357.0,JOTR,Joshua Tree National Park
2247,1979,590543.0,JOTR,Joshua Tree National Park
2248,2019,987235.0,EVER,Everglades National Park
2249,2018,597124.0,EVER,Everglades National Park
2250,2017,1018557.0,EVER,Everglades National Park
2251,2016,930907.0,EVER,Everglades National Park
2252,2015,1077427.0,EVER,Everglades National Park
2253,2014,1110901.0,EVER,Everglades National Park
2254,2013,1047116.0,EVER,Everglades National Park
2255,2012,1141906.0,EVER,Everglades National Park
2256,2011,934351.0,EVER,Everglades National Park
2257,2010,915538.0,EVER,Everglades National Park
2258,2009,900882.0,EVER,Everglades National Park
2259,2008,822118.0,EVER,Everglades National Park
2260,2007,1074764.0,EVER,Everglades National Park
2261,2006,954022.0,EVER,Everglades National Park
2262,2005,1233837.0,EVER,Everglades National Park
2263,2004,1181355.0,EVER,Everglades National Park
2264,2003,1040648.0,EVER,Everglades National Park
2265,2002,968909.0,EVER,Everglades National Park
2266,2001,1049851.0,EVER,Everglades National Park
2267,2000,995390.0,EVER,Everglades National Park
2268,1999,1073982.0,EVER,Everglades National Park
2269,1998,1118215.0,EVER,Everglades National Park
2270,1997,989532.0,EVER,Everglades National Park
2271,1996,890167.0,EVER,Everglades National Park
2272,1995,820466.0,EVER,Everglades National Park
2273,1994,886455.0,EVER,Everglades National Park
2274,1993,973706.0,EVER,Everglades National Park
2275,1992,1025686.0,EVER,Everglades National Park
2276,1991,1292014.0,EVER,Everglades National Park
2277,1990,957925.0,EVER,Everglades National Park
2278,1989,913372.0,EVER,Everglades National Park
2279,1988,1026188.0,EVER,Everglades National Park
2280,1987,787493.0,EVER,Everglades National Park
2281,1986,739072.0,EVER,Everglades National Park
2282,1985,697646.0,EVER,Everglades National Park
2283,1984,628658.0,EVER,Everglades National Park
2284,1983,577439.0,EVER,Everglades National Park
2285,1982,550168.0,EVER,Everglades National Park
2286,1981,564721.0,EVER,Everglades National Park
2287,1980,744244.0,EVER,Everglades National Park
2288,1979,718102.0,EVER,Everglades National Park
2289,2019,962121.0,BADL,Badlands National Park
2290,2018,1008942.0,BADL,Badlands National Park
2291,2017,1054325.0,BADL,Badlands National Park
2292,2016,996263.0,BADL,Badlands National Park
2293,2015,989354.0,BADL,Badlands National Park
2294,2014,868094.0,BADL,Badlands National Park
2295,2013,892372.0,BADL,Badlands National Park
2296,2012,883406.0,BADL,Badlands National Park
2297,2011,870741.0,BADL,Badlands National Park
2298,2010,977778.0,BADL,Badlands National Park
2299,2009,933918.0,BADL,Badlands National Park
2300,2008,845734.0,BADL,Badlands National Park
2301,2007,886654.0,BADL,Badlands National Park
2302,2006,840118.0,BADL,Badlands National Park
2303,2005,909146.0,BADL,Badlands National Park
2304,2004,936030.0,BADL,Badlands National Park
2305,2003,871034.0,BADL,Badlands National Park
2306,2002,908898.0,BADL,Badlands National Park
2307,2001,955469.0,BADL,Badlands National Park
2308,2000,1105824.0,BADL,Badlands National Park
2309,1999,950453.0,BADL,Badlands National Park
2310,1998,1021049.0,BADL,Badlands National Park
2311,1997,970696.0,BADL,Badlands National Park
2312,1996,1024705.0,BADL,Badlands National Park
2313,1995,1075569.0,BADL,Badlands National Park
2314,1994,1130459.0,BADL,Badlands National Park
2315,1993,1179458.0,BADL,Badlands National Park
2316,1992,1205297.0,BADL,Badlands National Park
2317,1991,1518396.0,BADL,Badlands National Park
2318,1990,1326475.0,BADL,Badlands National Park
2319,1989,1237956.0,BADL,Badlands National Park
2320,1988,1110040.0,BADL,Badlands National Park
2321,1987,1174398.0,BADL,Badlands National Park
2322,1986,1025630.0,BADL,Badlands National Park
2323,1985,950242.0,BADL,Badlands National Park
2324,1984,1113675.0,BADL,Badlands National Park
2325,1983,1026981.0,BADL,Badlands National Park
2326,1982,1030484.0,BADL,Badlands National Park
2327,1981,1175952.0,BADL,Badlands National Park
2328,1980,952652.0,BADL,Badlands National Park
2329,1979,858000.0,BADL,Badlands National Park
2330,2019,643589.0,PEFO,Petrified Forest National Park
2331,2018,644922.0,PEFO,Petrified Forest National Park
2332,2017,627757.0,PEFO,Petrified Forest National Park
2333,2016,643274.0,PEFO,Petrified Forest National Park
2334,2015,793225.0,PEFO,Petrified Forest National Park
2335,2014,836799.0,PEFO,Petrified Forest National Park
2336,2013,644648.0,PEFO,Petrified Forest National Park
2337,2012,664857.0,PEFO,Petrified Forest National Park
2338,2011,614054.0,PEFO,Petrified Forest National Park
2339,2010,664725.0,PEFO,Petrified Forest National Park
2340,2009,631613.0,PEFO,Petrified Forest National Park
2341,2008,543714.0,PEFO,Petrified Forest National Park
2342,2007,563590.0,PEFO,Petrified Forest National Park
2343,2006,581681.0,PEFO,Petrified Forest National Park
2344,2005,598378.0,PEFO,Petrified Forest National Park
2345,2004,580000.0,PEFO,Petrified Forest National Park
2346,2003,586245.0,PEFO,Petrified Forest National Park
2347,2002,571586.0,PEFO,Petrified Forest National Park
2348,2001,583904.0,PEFO,Petrified Forest National Park
2349,2000,605192.0,PEFO,Petrified Forest National Park
2350,1999,666978.0,PEFO,Petrified Forest National Park
2351,1998,816506.0,PEFO,Petrified Forest National Park
2352,1997,823266.0,PEFO,Petrified Forest National Park
2353,1996,829495.0,PEFO,Petrified Forest National Park
2354,1995,935065.0,PEFO,Petrified Forest National Park
2355,1994,922927.0,PEFO,Petrified Forest National Park
2356,1993,936429.0,PEFO,Petrified Forest National Park
2357,1992,930031.0,PEFO,Petrified Forest National Park
2358,1991,874521.0,PEFO,Petrified Forest National Park
2359,1990,844592.0,PEFO,Petrified Forest National Park
2360,1989,824141.0,PEFO,Petrified Forest National Park
2361,1988,857031.0,PEFO,Petrified Forest National Park
2362,1987,758082.0,PEFO,Petrified Forest National Park
2363,1986,761257.0,PEFO,Petrified Forest National Park
2364,1985,736659.0,PEFO,Petrified Forest National Park
2365,1984,714761.0,PEFO,Petrified Forest National Park
2366,1983,708512.0,PEFO,Petrified Forest National Park
2367,1982,710619.0,PEFO,Petrified Forest National Park
2368,1981,747832.0,PEFO,Petrified Forest National Park
2369,1980,683121.0,PEFO,Petrified Forest National Park
2370,1979,671583.0,PEFO,Petrified Forest National Park
2371,2019,1388833.0,HOSP,Hot Springs National Park
2372,2018,1506887.0,HOSP,Hot Springs National Park
2373,2017,1561616.0,HOSP,Hot Springs National Park
2374,2016,1544300.0,HOSP,Hot Springs National Park
2375,2015,1418162.0,HOSP,Hot Springs National Park
2376,2014,1424484.0,HOSP,Hot Springs National Park
2377,2013,1325719.0,HOSP,Hot Springs National Park
2378,2012,1302505.0,HOSP,Hot Springs National Park
2379,2011,1396354.0,HOSP,Hot Springs National Park
2380,2010,1311807.0,HOSP,Hot Springs National Park
2381,2009,1284707.0,HOSP,Hot Springs National Park
2382,2008,1238147.0,HOSP,Hot Springs National Park
2383,2007,1300152.0,HOSP,Hot Springs National Park
2384,2006,1273456.0,HOSP,Hot Springs National Park
2385,2005,1340160.0,HOSP,Hot Springs National Park
2386,2004,1418735.0,HOSP,Hot Springs National Park
2387,2003,1561311.0,HOSP,Hot Springs National Park
2388,2002,1440227.0,HOSP,Hot Springs National Park
2389,2001,1296786.0,HOSP,Hot Springs National Park
2390,2000,1338156.0,HOSP,Hot Springs National Park
2391,1999,1384469.0,HOSP,Hot Springs National Park
2392,1998,1495993.0,HOSP,Hot Springs National Park
2393,1997,1509596.0,HOSP,Hot Springs National Park
2394,1996,1538105.0,HOSP,Hot Springs National Park
2395,1995,1617077.0,HOSP,Hot Springs National Park
2396,1994,1618847.0,HOSP,Hot Springs National Park
2397,1993,1477299.0,HOSP,Hot Springs National Park
2398,1992,1504013.0,HOSP,Hot Springs National Park
2399,1991,1203929.0,HOSP,Hot Springs National Park
2400,1990,1123175.0,HOSP,Hot Springs National Park
2401,1989,1272771.0,HOSP,Hot Springs National Park
2402,1988,1185772.0,HOSP,Hot Springs National Park
2403,1987,1101242.0,HOSP,Hot Springs National Park
2404,1986,1175170.0,HOSP,Hot Springs National Park
2405,1985,1112764.0,HOSP,Hot Springs National Park
2406,1984,1071853.0,HOSP,Hot Springs National Park
2407,1983,1160008.0,HOSP,Hot Springs National Park
2408,1982,1015580.0,HOSP,Hot Springs National Park
2409,1981,1177911.0,HOSP,Hot Springs National Park
2410,1980,1160588.0,HOSP,Hot Springs National Park
2411,1979,1118800.0,HOSP,Hot Springs National Park
2412,2019,2059477.0,INDU,Indiana Dunes National Park
2413,2018,1756079.0,INDU,Indiana Dunes National Park
2414,2017,2158471.0,INDU,Indiana Dunes National Park
2415,2016,1698223.0,INDU,Indiana Dunes National Park
2416,2015,1640195.0,INDU,Indiana Dunes National Park
2417,2014,1553372.0,INDU,Indiana Dunes National Park
2418,2013,1681695.0,INDU,Indiana Dunes National Park
2419,2012,1889381.0,INDU,Indiana Dunes National Park
2420,2011,1840513.0,INDU,Indiana Dunes National Park
2421,2010,2150345.0,INDU,Indiana Dunes National Park
2422,2009,1944568.0,INDU,Indiana Dunes National Park
2423,2008,1833596.0,INDU,Indiana Dunes National Park
2424,2007,1972344.0,INDU,Indiana Dunes National Park
2425,2006,1938132.0,INDU,Indiana Dunes National Park
2426,2005,2127336.0,INDU,Indiana Dunes National Park
2427,2004,1810330.0,INDU,Indiana Dunes National Park
2428,2003,1953449.0,INDU,Indiana Dunes National Park
2429,2002,1989941.0,INDU,Indiana Dunes National Park
2430,2001,1735404.0,INDU,Indiana Dunes National Park
2431,2000,1820228.0,INDU,Indiana Dunes National Park
2432,1999,1748047.0,INDU,Indiana Dunes National Park
2433,1998,2108789.0,INDU,Indiana Dunes National Park
2434,1997,1483782.0,INDU,Indiana Dunes National Park
2435,1996,1526166.0,INDU,Indiana Dunes National Park
2436,1995,1696488.0,INDU,Indiana Dunes National Park
2437,1994,1699958.0,INDU,Indiana Dunes National Park
2438,1993,1763094.0,INDU,Indiana Dunes National Park
2439,1992,1973098.0,INDU,Indiana Dunes National Park
2440,1991,2058801.0,INDU,Indiana Dunes National Park
2441,1990,1919901.0,INDU,Indiana Dunes National Park
2442,1989,1791902.0,INDU,Indiana Dunes National Park
2443,1988,1885376.0,INDU,Indiana Dunes National Park
2444,1987,1576238.0,INDU,Indiana Dunes National Park
2445,1986,1676583.0,INDU,Indiana Dunes National Park
2446,1985,1800326.0,INDU,Indiana Dunes National Park
2447,1984,1560428.0,INDU,Indiana Dunes National Park
2448,1983,1510630.0,INDU,Indiana Dunes National Park
2449,1982,1066573.0,INDU,Indiana Dunes National Park
2450,1981,1023436.0,INDU,Indiana Dunes National Park
2451,1980,1222874.0,INDU,Indiana Dunes National Park
2452,1979,1606166.0,INDU,Indiana Dunes National Park
2453,2019,1605452.0,DEVA,Death Valley National Park
2454,2018,1678660.0,DEVA,Death Valley National Park
2455,2017,1294827.0,DEVA,Death Valley National Park
2456,2016,1296283.0,DEVA,Death Valley National Park
2457,2015,1154843.0,DEVA,Death Valley National Park
2458,2014,1101312.0,DEVA,Death Valley National Park
2459,2013,951972.0,DEVA,Death Valley National Park
2460,2012,984568.0,DEVA,Death Valley National Park
2461,2011,946867.0,DEVA,Death Valley National Park
2462,2010,984775.0,DEVA,Death Valley National Park
2463,2009,828574.0,DEVA,Death Valley National Park
2464,2008,871938.0,DEVA,Death Valley National Park
2465,2007,704122.0,DEVA,Death Valley National Park
2466,2006,744440.0,DEVA,Death Valley National Park
2467,2005,800113.0,DEVA,Death Valley National Park
2468,2004,764820.0,DEVA,Death Valley National Park
2469,2003,890375.0,DEVA,Death Valley National Park
2470,2002,897596.0,DEVA,Death Valley National Park
2471,2001,1014636.0,DEVA,Death Valley National Park
2472,2000,1179094.0,DEVA,Death Valley National Park
2473,1999,1227583.0,DEVA,Death Valley National Park
2474,1998,1177746.0,DEVA,Death Valley National Park
2475,1997,1188212.0,DEVA,Death Valley National Park
2476,1996,1189215.0,DEVA,Death Valley National Park
2477,1995,1109421.0,DEVA,Death Valley National Park
2478,1994,971487.0,DEVA,Death Valley National Park
2479,1993,998474.0,DEVA,Death Valley National Park
2480,1992,869183.0,DEVA,Death Valley National Park
2481,1991,743608.0,DEVA,Death Valley National Park
2482,1990,690965.0,DEVA,Death Valley National Park
2483,1989,664449.0,DEVA,Death Valley National Park
2484,1988,692267.0,DEVA,Death Valley National Park
2485,1987,665345.0,DEVA,Death Valley National Park
2486,1986,586668.0,DEVA,Death Valley National Park
2487,1985,576679.0,DEVA,Death Valley National Park
2488,1984,621197.0,DEVA,Death Valley National Park
2489,1983,635582.0,DEVA,Death Valley National Park
2490,1982,679992.0,DEVA,Death Valley National Park
2491,1981,630402.0,DEVA,Death Valley National Park
2492,1980,618140.0,DEVA,Death Valley National Park
2493,1979,631152.0,DEVA,Death Valley National Park
